,name,station,lat,lon,line
aacd-servidor,Aacd Servidor,aacd-servidor,-23.5978246,-46.652374,['lilas']
adolfo-pinheiro,Adolfo Pinheiro,adolfo-pinheiro,-23.6500726,-46.7042057,['lilas']
alto-da-boa-vista,Alto Da Boa Vista,alto-da-boa-vista,-23.6416251,-46.6994344,['lilas']
alto-do-ipiranga,Alto Do Ipiranga,alto-do-ipiranga,-23.6022366,-46.6124857,['verde']
ana-rosa,Ana Rosa,ana-rosa,-23.5818713,-46.6381039,"['azul', 'verde']"
anhangabau,Anhangabau,anhangabau,-23.5478254,-46.63918,['vermelha']
armenia,Armenia,armenia,-23.5254103,-46.629258965,['azul']
artur-alvim,Artur Alvim,artur-alvim,-23.5402438,-46.4847063,['vermelha']
belem,Belem,belem,-23.5428718,-46.589615,['vermelha']
borba-gato,Borba Gato,borba-gato,-23.6334661,-46.6928675,['lilas']
bras,Bras,bras,-23.5453263,-46.6164435,['vermelha']
bresser-mooca,Bresser Mooca,bresser-mooca,-23.5463606,-46.6071519,['vermelha']
brigadeiro,Brigadeiro,brigadeiro,-23.5677281,-46.6489369,['verde']
brooklin,Brooklin,brooklin,-23.6268017,-46.6881279,['lilas']
butanta,Butanta,butanta,-23.5718995,-46.7080896,['amarela']
camilo-haddad,Camilo Haddad,camilo-haddad,-23.59551685,-46.5375900881897,['prata']
campo-limpo,Campo Limpo,campo-limpo,-23.649246,-46.7589296,['lilas']
capao-redondo,Capao Redondo,capao-redondo,-23.6591689,-46.7680006,['lilas']
carandiru,Carandiru,carandiru,-23.5095466,-46.6249771474585,['azul']
carrao,Carrao,carrao,-23.5378874,-46.5642624,['vermelha']
chacara-klabin,Chacara Klabin,chacara-klabin,-23.5926813,-46.6306807,"['lilas', 'verde']"
clinicas,Clinicas,clinicas,-23.5541125,-46.6730048,['verde']
conceicao,Conceicao,conceicao,-23.6350111,-46.641295,['azul']
consolacao,Consolacao,consolacao,-23.5581208,-46.6602193,['verde']
corinthians-itaquera,Corinthians Itaquera,corinthians-itaquera,-23.5422994,-46.4712065,['vermelha']
eucaliptos,Eucaliptos,eucaliptos,-23.6097955,-46.668617,['lilas']
faria-lima,Faria Lima,faria-lima,-23.5672551,-46.6939585,['amarela']
fradique-coutinho,Fradique Coutinho,fradique-coutinho,-23.5662284,-46.6841386,['amarela']
giovanni-gronchi,Giovanni Gronchi,giovanni-gronchi,-23.6439301,-46.7339828,['lilas']
guilhermina-esperanca,Guilhermina Esperanca,guilhermina-esperanca,-23.5293046,-46.5166401,['vermelha']
higienopolis-mackenzie,Higienopolis Mackenzie,higienopolis-mackenzie,-23.5489592,-46.6523049,['amarela']
hospital-sao-paulo,Hospital Sao Paulo,hospital-sao-paulo,-23.5983051,-46.6455771,['lilas']
jabaquara,Jabaquara,jabaquara,-23.6463382,-46.6410462,['azul']
japao-liberdade,Japao Liberdade,japao-liberdade,-23.5551768,-46.6356017,['azul']
jardim-sao-paulo-ayrton-senna,Jardim Sao Paulo Ayrton Senna,jardim-sao-paulo-ayrton-senna,-23.4922867,-46.6188575,['azul']
largo-treze,Largo Treze,largo-treze,-23.6544576,-46.7101664,['lilas']
luz,Luz,luz,-23.5360593,-46.6341812,"['amarela', 'azul']"
marechal-deodoro,Marechal Deodoro,marechal-deodoro,-23.5339809,-46.6558993,['vermelha']
moema,Moema,moema,-23.603776,-46.6621333,['lilas']
oratorio,Oratorio,oratorio,-23.58213475,-46.5618087904539,['prata']
oscar-freire,Oscar Freire,oscar-freire,-23.5607503,-46.6720286,['amarela']
palmeiras-barra-funda,Palmeiras Barra Funda,palmeiras-barra-funda,-23.5254616,-46.6675134,['vermelha']
parada-inglesa,Parada Inglesa,parada-inglesa,-23.4870316,-46.6088003521677,['azul']
paraiso,Paraiso,paraiso,-23.5753983,-46.6408061,"['azul', 'verde']"
patriarca-vila-re,Patriarca Vila Re,patriarca-vila-re,-23.5311445,-46.5036382,['vermelha']
paulista,Paulista,paulista,-23.5552461,-46.6622682,['amarela']
pedro-ii,Pedro II,pedro-ii,-23.5496994,-46.6259819,['vermelha']
penha,Penha,penha,-23.5334949,-46.5426688,['vermelha']
