,name,station,lat,lon,line,neigh
aacd-servidor,Aacd Servidor,aacd-servidor,-23.5978246,-46.652374,['lilas'],"['moema', 'hospital-sao-paulo']"
adolfo-pinheiro,Adolfo Pinheiro,adolfo-pinheiro,-23.6500726,-46.7042057,['lilas'],"['largo-treze', 'alto-da-boa-vista']"
alto-da-boa-vista,Alto Da Boa Vista,alto-da-boa-vista,-23.6416251,-46.6994344,['lilas'],"['adolfo-pinheiro', 'borba-gato']"
alto-do-ipiranga,Alto Do Ipiranga,alto-do-ipiranga,-23.6022366,-46.6124857,['verde'],"['santos-imigrantes', 'sacoma']"
ana-rosa,Ana Rosa,ana-rosa,-23.5818713,-46.6381039,"['azul', 'verde']","['paraiso', 'vila-mariana', 'paraiso', 'chacara-klabin']"
anhangabau,Anhangabau,anhangabau,-23.5478254,-46.63918,['vermelha'],"['se', 'republica']"
armenia,Armenia,armenia,-23.5254103,-46.629258965,['azul'],"['portuguesa-tiete', 'tiradentes']"
artur-alvim,Artur Alvim,artur-alvim,-23.5402438,-46.4847063,['vermelha'],"['corinthians-itaquera', 'patriarca-vila-re']"
belem,Belem,belem,-23.5428718,-46.589615,['vermelha'],"['tatuape', 'bresser-mooca']"
borba-gato,Borba Gato,borba-gato,-23.6334661,-46.6928675,['lilas'],"['alto-da-boa-vista', 'brooklin']"
bras,Bras,bras,-23.5453263,-46.6164435,['vermelha'],"['bresser-mooca', 'pedro-ii']"
bresser-mooca,Bresser Mooca,bresser-mooca,-23.5463606,-46.6071519,['vermelha'],"['belem', 'bras']"
brigadeiro,Brigadeiro,brigadeiro,-23.5677281,-46.6489369,['verde'],"['trianon-masp', 'paraiso']"
brooklin,Brooklin,brooklin,-23.6268017,-46.6881279,['lilas'],"['borba-gato', 'eucaliptos']"
butanta,Butanta,butanta,-23.5718995,-46.7080896,['amarela'],"['sao-paulo-morumbi', 'pinheiros']"
camilo-haddad,Camilo Haddad,camilo-haddad,-23.59551685,-46.5375900881897,['prata'],"['sao-lucas', 'vila-tolstoi']"
